Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
58:43.2,21.88872794,-83.36269318,24.5998228,358.5017863,534.0863575,316.7444059,-2.7,43.02,36.43,1015.03,-1,-1
58:44.2,17.20845734,-90.32637287,16.17048101,349.4698195,528.0077338,315.9429827,-2.85,42.72,36.58,1015.02,1,-1
58:45.2,17.57301403,-87.75350132,20.60707161,353.6057992,529.8241229,315.4321884,-4.8,44.07,35.08,1015.01,1,-1
58:46.2,18.04614445,-87.79588552,19.99952334,353.49606,530.7145618,316.5562797,-4.65,43.47,35.98,1015,1,-1
58:47.2,17.63868814,-88.16183334,19.58172032,353.0284907,530.3840268,316.4970108,-6,44.82,33.43,1015.01,1,-1
58:48.2,17.52753688,-88.21211699,19.6921575,353.2175333,530.5861376,316.7040086,-3.3,42.72,34.93,1014.98,1,-1
58:49.2,17.49776585,-88.59394342,18.88506923,352.3427683,530.0975359,316.5285442,-4.2,45.12,36.13,1014.99,1,-1
58:50.2,18.00913884,-87.39864925,19.37179605,351.8406832,530.0023683,317.5603355,-4.2,45.12,36.13,1015,1,-1
58:51.2,17.30819877,-87.25874129,20.83938755,353.2129556,530.1897803,317.2013259,-7.5,43.17,32.23,1015.02,-1,-1
58:52.2,16.94512203,-87.09940516,21.15499431,353.0742723,530.1009141,317.945467,-7.05,42.27,27.13,1015.03,-1,-1
58:53.2,15.66479384,-90.7535997,18.28425104,352.0201376,528.6648801,315.0091548,-7.35,41.52,28.63,1015.05,-1,-1
58:54.2,17.3354951,-90.28821966,15.60273442,348.7344955,527.5792493,315.5696801,-8.24,41.07,29.83,1015,-1,-1
58:55.2,17.32279003,-90.35306387,15.69204366,349.1246994,527.9824631,315.6213185,-7.2,41.37,28.78,1015,-1,-1
58:56.2,16.94885275,-90.87969122,15.52010932,349.4933518,528.4609473,315.7290001,-7.05,41.52,27.58,1015.01,-1,-1
58:57.2,17.47058052,-90.27499594,15.61480092,349.0654893,528.0695082,315.721688,-8.54,41.07,29.08,1015.03,-1,-1
58:58.1,17.5862201,-90.18787509,15.39812655,348.567624,527.6485526,315.6433362,-7.5,39.27,28.03,1015.04,-1,-1
58:59.2,16.961215,-90.98491083,15.1549077,349.0927713,528.3323425,315.8018754,-8.54,42.72,28.33,1014.99,-1,-1
59:00.2,17.35285327,-91.1047218,14.31539202,348.0670996,527.809527,315.8985863,-7.65,40.77,27.88,1015,-1,-1
59:01.2,17.09057489,-90.45863895,15.71342113,349.2471984,528.0836169,315.5630074,-7.65,40.77,27.88,1015,1,-1
59:02.2,17.42093577,-90.67721509,14.90425541,348.4502673,527.8400426,315.7414409,-7.65,40.77,27.88,1015.04,1,-1
59:03.1,17.56287994,-90.6695137,14.6798217,348.4457376,528.4824833,316.7385047,-7.65,40.77,27.88,1015,1,-1
59:04.2,17.53689509,-90.6210219,14.70360083,348.4215073,528.481136,316.7775618,-7.65,40.77,27.88,1015.04,1,-1
59:05.2,17.53410269,-90.61670506,14.70195611,348.4087863,528.4627578,316.7648405,-7.65,40.77,27.88,1015.02,1,-1
59:06.2,17.53227117,-90.62114697,14.70343426,348.4216929,528.4813932,316.7773591,-7.65,40.77,27.88,1014.97,1,-1
59:07.2,17.53304309,-90.61832387,14.70283484,348.4144822,528.4715545,316.771892,-7.65,40.77,27.88,1015.01,1,-1
59:08.2,17.53366643,-90.61366576,14.70214183,348.3991968,528.4475437,316.7554436,-7.65,40.77,27.88,1015,1,-1
59:09.2,17.53168431,-90.61828426,14.70371871,348.4122972,528.4661791,316.7677685,-7.65,40.77,27.88,1015.05,-1,-1
59:10.2,17.49996356,-90.63934568,14.71488605,348.4259871,528.4439789,316.7384951,-7.65,40.77,27.88,1015.02,-1,-1
59:11.2,17.38438993,-90.61436968,14.91626429,348.3984466,527.8219472,315.7859906,-7.65,43.32,28.18,1015.06,-1,-1
59:12.2,17.38182918,-90.60573548,15.01313747,348.4327549,527.6138449,315.4730031,-6.75,41.67,32.53,1015.04,-1,-1
59:13.2,16.96311094,-90.31447442,16.7180837,349.8182533,526.9142132,314.3566736,26.53,29.23,43.92,1015.05,-1,-1
59:14.2,19.63730148,-88.61525716,16.04844263,349.5888227,529.7052948,317.1160132,36.43,32.38,98.34,1015.08,-1,-1
59:15.2,22.72644462,-81.58142473,28.46411515,358.1428477,525.6871419,309.0965588,40.77,8.54,114.23,1015.06,-1,-1
59:16.2,34.53633629,-69.99590256,41.20395907,379.6511619,549.8056905,318.1118417,36.88,27.13,109.73,1015.03,-1,-1
59:17.2,20.03869081,-81.19396148,43.8167145,385.5789981,547.0693454,312.4495292,39.42,3.75,115.42,1015.04,-1,-1
59:18.2,32.82854392,-72.34868049,43.04743071,385.3803968,553.3394016,316.8193893,38.38,27.58,111.68,1015.06,-1,-1
59:19.2,22.70951486,-82.45378838,39.47798962,383.9714256,549.5259501,314.2376522,38.08,3.75,114.98,1015.09,-1,-1
59:20.2,32.04052481,-71.20791619,44.3744388,385.8498534,553.885277,317.3961675,37.33,27.58,110.93,1015.11,-1,-1
59:21.2,21.21168609,-82.46767587,39.60628389,383.3179014,549.2806781,315.0071511,41.22,6.6,112.28,1015.07,-1,-1
59:22.1,31.98558302,-69.24415734,44.39239821,382.8671494,552.830323,320.9567204,41.07,17.09,111.08,1015.08,-1,-1
59:23.2,18.39292185,-81.99943366,43.22849551,384.2257001,546.9408416,313.9788139,42.72,7.65,111.98,1015.06,-1,-1
59:24.2,32.57590835,-70.51229528,40.65596977,379.5734099,553.1940152,323.2469066,39.87,24.73,112.58,1015.02,-1,-1
59:25.2,18.2420479,-80.14859179,44.37637958,383.767136,546.6456365,313.8960757,41.97,6.9,111.23,1015.07,-1,-1
59:26.1,29.28010847,-70.20511085,46.62498181,385.6761016,552.750901,318.7594081,38.38,29.08,108.23,1015.14,-1,-1
59:27.2,26.57865126,-77.78330646,38.45711889,380.1219833,550.7775334,318.2946809,39.12,7.94,115.72,1015.03,-1,-1
59:28.2,24.23994237,-70.01129591,48.89357365,384.2147228,549.58091,318.4644776,35.98,29.08,109.88,1015.06,-1,-1
59:29.2,22.93604093,-78.13636084,42.41119458,383.7211651,550.4376211,316.5282815,36.88,8.09,119.02,1015.06,-1,-1
59:30.1,24.79058122,-73.21335008,47.61634049,386.7959324,550.6993418,315.9309145,39.42,28.33,109.88,1015.07,-1,-1
59:31.2,26.49940026,-75.77725961,39.66245555,380.5004419,553.6629416,323.7578549,37.33,7.2,111.68,1015.04,-1,-1
59:32.2,19.62017293,-74.76260243,51.50704485,389.0107939,548.4361581,313.4980989,44.97,13.79,111.38,1015.09,-1,-1
59:33.2,28.68360661,-74.81651971,36.40188431,376.4905191,552.6204796,323.8115701,40.02,12.44,116.62,1015.06,-1,-1
59:34.2,18.87786187,-78.31264079,48.0983166,387.5929253,546.4785139,310.3200941,43.62,15.59,111.83,1015.08,-1,-1
59:35.2,35.23138677,-69.06238369,38.74248294,378.2174461,555.0411319,326.3636549,37.78,29.38,111.98,1015.02,-1,-1
59:36.1,17.88636651,-79.70084907,48.49921739,388.0794693,546.4559824,310.9934452,43.77,11.54,112.28,1015.02,-1,-1
59:37.2,31.17785512,-67.66504182,46.240369,383.5959456,553.23183,321.9040694,36.13,29.53,110.48,1015.1,-1,-1
59:38.2,22.49006668,-75.56888258,44.32009836,381.3238472,548.5169008,319.4600735,40.62,7.2,113.33,1015.07,-1,-1
59:39.2,21.7475022,-72.64344852,50.74589242,387.6144335,549.1379798,315.4497026,36.88,29.53,108.08,1015.07,-1,-1
59:40.2,26.37911465,-77.53558976,39.31874521,381.0726804,551.4725202,319.7668986,38.97,25.93,110.48,1015.05,-1,-1
59:41.2,26.60100082,-71.61007652,45.41363909,383.7014335,552.9002669,320.2876224,38.97,25.93,110.48,1015.1,-1,-1
59:42.2,22.42183509,-69.98859963,48.40247414,383.1752033,551.2044832,320.9182785,38.97,25.93,110.48,1015.1,-1,-1
59:43.2,22.46402175,-69.1634133,49.09104259,383.3198278,551.1262522,320.898285,38.97,25.93,110.48,1015.12,-1,-1
59:44.2,22.46555266,-69.16296656,49.08996157,383.3195071,551.1271599,320.8985453,38.97,25.93,110.48,1015.07,-1,-1
59:45.2,22.46471561,-69.16470972,49.09067159,383.3253879,551.1362174,320.9053945,38.97,25.93,110.48,1015.05,-1,-1
59:46.2,22.46571896,-69.15922046,49.08975174,383.3091423,551.1119469,320.8899236,38.97,25.93,110.48,1015.06,-1,-1
59:47.2,22.46480207,-69.1578001,49.09029284,383.3033978,551.1017187,320.8830161,38.97,25.93,110.48,1015.07,-1,-1
59:48.2,22.46424901,-69.15911853,49.09071962,383.3068648,551.1064416,320.8859013,38.97,25.93,110.48,1015.1,-1,-1
59:49.2,22.46470357,-69.16021862,49.09043015,383.3102132,551.1118137,320.8888617,38.97,25.93,110.48,1015.12,-1,-1
59:50.2,22.464766,-69.1633109,49.09051394,383.3198124,551.1267636,320.8982667,38.97,25.93,110.48,1015.07,-1,-1
59:51.2,22.46471423,-69.16471111,49.09067576,383.3253895,551.1362106,320.9053937,38.97,25.93,110.48,1015.08,-1,-1
59:52.2,22.46605109,-69.15940878,49.08950385,383.3094216,551.1123296,320.8896191,38.97,25.93,110.48,1015.08,-1,-1
59:53.2,22.46460158,-69.16100785,49.09056285,383.3130996,551.1165332,320.8923278,38.97,25.93,110.48,1015.09,-1,-1
59:54.2,22.46497428,-69.16095607,49.09029679,383.3130912,551.1167917,320.892319,38.97,25.93,110.48,1015.09,-1,-1
59:55.2,22.40159656,-69.12964159,49.26458736,383.4447343,551.028458,320.8672465,32.23,38.52,93.54,1015.1,-1,-1
59:56.2,21.46164863,-68.64577615,50.71452879,382.9790225,548.3778138,319.9901357,28.78,40.77,93.84,1015.07,-1,-1
59:57.2,19.29118924,-71.47002133,50.25803801,381.5571051,543.1895275,315.5427427,25.48,41.07,86.79,1015.05,-1,-1
59:58.2,22.67856945,-71.67962893,48.00431948,381.7843742,545.3938685,316.0195261,25.33,43.02,84.1,1015.11,-1,-1
59:59.2,21.98555178,-73.87361968,44.51012207,378.190176,543.1050278,315.659666,22.49,43.32,80.35,1015.05,-1,-1
00:00.2,22.34734765,-74.13062805,44.50733025,378.4443975,542.3288498,314.1034695,23.53,41.52,81.7,1015.07,-1,-1
00:01.2,24.16984253,-74.14355674,41.12431778,375.0446153,542.3850783,316.2839435,23.23,44.82,76.3,1015.08,-1,-1
00:02.2,22.15435732,-75.03238621,42.00137703,375.2793627,541.1057309,315.2484183,22.79,44.82,77.35,1015.12,-1,-1
00:03.2,22.64765316,-72.9551384,42.54025373,373.1092498,539.7365211,317.8300457,35.38,33.88,99.83,1015.07,-1,-1
00:04.2,22.7795367,-76.26985379,41.89516339,376.7033773,541.2864195,312.9503271,35.23,34.33,101.33,1015.06,-1,-1
00:05.2,23.31803226,-72.2182291,47.4831394,383.1000088,546.9189211,315.2790439,25.63,40.17,89.04,1015.09,-1,-1
00:06.2,26.32681717,-69.6893548,47.67916649,382.3652474,547.4336752,317.2049714,25.18,44.22,88.14,1015.11,-1,-1
00:07.2,22.29676441,-74.32053403,44.48752903,378.9736661,543.7315103,315.8513633,28.33,41.37,89.19,1015.09,-1,-1
00:08.2,22.74785925,-73.10086386,45.75404513,379.6539302,543.9730634,315.8731552,25.48,41.07,90.24,1015.07,-1,-1
00:09.1,22.66671451,-72.80063078,46.08641301,379.4908145,543.6467889,315.867923,25.93,41.22,89.94,1015.06,-1,-1
00:10.2,21.56940255,-74.06800284,45.59656677,379.8950758,544.1046978,315.9227581,25.63,40.47,89.34,1015.08,-1,-1
00:11.2,22.26684336,-73.57552761,45.39787239,379.4714598,544.2409122,316.4134495,25.93,40.47,89.94,1015.07,-1,-1
00:12.2,20.95438273,-74.78764137,45.43909252,379.6384127,543.078518,314.7455794,27.13,41.52,89.04,1015.06,-1,-1
00:13.2,22.20141163,-73.76615069,45.46424169,379.6283907,544.0507775,316.5051886,32.23,36.73,102.23,1015.08,-1,-1
00:14.2,23.77081593,-74.78572337,44.6990029,380.9608517,544.8066945,314.225543,36.13,32.08,103.58,1015.08,-1,-1
00:15.2,25.19398234,-70.26216194,46.26250905,381.553215,550.5783415,321.1241178,29.53,38.67,92.04,1015.13,-1,-1
00:16.2,18.47961596,-71.15878457,52.06996003,383.9200028,544.6571271,315.6343471,34.48,37.33,95.79,1015.15,-1,-1
00:17.2,23.28318935,-72.02182858,46.43694154,380.1351623,544.792276,316.6815559,30.43,38.52,95.94,1015.12,-1,-1
00:18.2,24.6674949,-71.04916591,48.00076342,381.9853509,545.4250191,315.8237122,34.18,36.58,97.59,1015.12,-1,-1
00:19.2,22.89997861,-72.73790759,47.08073482,382.0205182,545.84358,315.7592465,29.68,37.48,95.34,1015.11,-1,-1
00:20.2,23.89337474,-70.79744769,48.30614354,381.8758312,545.7306729,316.8793018,31.63,37.93,95.79,1015.1,-1,-1
00:21.2,23.08825394,-73.10204168,46.38233387,381.3620699,545.7698918,316.3662128,32.08,36.88,92.79,1015.11,-1,-1
00:22.2,23.02773995,-72.12247828,47.45175805,381.7823392,545.8041126,316.4704069,31.63,36.88,93.84,1015.12,-1,-1
00:23.2,23.76264389,-72.25792259,46.07420526,380.1316547,544.772471,315.9896912,29.98,38.67,92.34,1015.1,-1,-1
00:24.2,23.39429152,-71.99605777,45.95543138,379.7540324,545.6622259,317.9257209,24.58,42.27,85.14,1015.15,-1,-1
00:25.2,24.09945759,-70.66527049,44.89704889,377.7497409,546.744978,320.194922,24.43,42.72,78.85,1015.14,-1,-1
00:26.2,17.03793773,-72.79756343,47.41425497,377.1013567,540.4606382,316.2054654,27.28,41.67,76.75,1015.12,-1,-1
