Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
40:39.9,22.39840445,-83.91008282,31.97215894,374.0530892,546.8275531,318.7677862,29.68,1.65,107.63,1008.08,-1,1
40:40.9,22.36297866,-83.9386367,31.98628992,374.0889486,546.8373827,318.7608762,29.68,1.65,107.63,1008.09,-1,1
40:41.9,22.24877066,-83.9068355,32.19012565,374.0499946,546.1893957,317.7810399,29.68,1.65,107.63,1008.07,1,1
40:42.9,22.30606428,-83.93819894,32.15566099,374.0730289,546.2323554,317.7841362,29.68,1.65,107.63,1008.07,1,1
40:43.9,22.42776345,-83.96412644,31.94974037,374.0955091,546.8571093,318.7486606,29.68,1.65,107.63,1008.06,1,1
40:44.9,22.40215047,-83.91194122,31.97305447,374.0590722,546.8364762,318.7745423,29.68,1.65,107.63,1008.1,1,1
40:45.9,22.39788966,-83.91116345,31.97257448,374.0562711,546.8321405,318.7709656,29.68,1.65,107.63,1008.08,1,1
40:46.9,22.39684341,-83.91526237,31.97350443,374.0688741,546.8511654,318.783762,29.68,1.65,107.63,1008.05,1,1
40:47.9,22.39783766,-83.91256389,31.97273699,374.0618485,546.8415864,318.7780924,29.68,1.65,107.63,1008.08,1,1
40:48.9,22.39806887,-83.90989796,31.97241724,374.0528139,546.8271535,318.7680885,29.68,1.65,107.63,1008.1,1,1
40:49.9,22.39708426,-83.91344751,31.97323197,374.0628179,546.8415841,318.7771232,29.68,1.65,107.63,1008.09,-1,1
40:50.9,22.36401328,-83.93733111,31.98552001,374.0855686,546.8330368,318.7578796,29.68,1.65,107.63,1008.07,-1,1
40:51.9,22.24814378,-83.90785475,32.19062798,374.053085,546.1938488,317.78432,29.68,1.65,107.63,1008.09,-1,1
40:52.9,22.27336315,-83.95839121,32.16749021,374.0835754,546.2045122,317.7517158,29.68,1.65,107.63,1008.1,-1,1
40:53.9,22.27751535,-83.96073688,32.1680616,374.090214,546.214089,317.7577727,29.68,1.65,107.63,1008.09,-1,1
40:54.9,22.27778699,-83.96147341,32.16792547,374.0930909,546.2190716,317.7612305,29.68,1.65,107.63,1008.07,-1,1
40:55.9,22.27796666,-83.96020745,32.16776684,374.0896332,546.2140868,317.7583537,29.68,1.65,107.63,1008.06,-1,1
40:56.9,22.27787446,-83.95820519,32.16774504,374.0832987,546.2041182,317.7520189,29.68,1.65,107.63,1008.07,1,1
40:57.9,22.31106625,-83.93523498,32.15542027,374.0636191,546.217647,317.7745265,29.68,1.65,107.63,1008.06,1,1
40:58.9,22.42686354,-83.96441055,31.950383,374.0957242,546.8565731,318.748482,29.68,1.65,107.63,1008.08,1,1
40:59.9,22.40250984,-83.91104206,31.97275223,374.0560897,546.8318651,318.7711661,29.68,1.65,107.63,1008.04,1,1
41:00.9,22.39667646,-83.91296186,31.97356097,374.0621643,546.8409226,318.7778215,29.68,1.65,107.63,1008.05,1,1
41:01.9,22.39787284,-83.90868677,31.97253369,374.049368,546.8218954,318.7652187,29.68,1.65,107.63,1008.04,1,1
41:02.9,22.39657392,-83.91010922,31.97349396,374.0528522,546.826099,318.7681211,29.68,1.65,107.63,1008.04,1,1
41:03.9,22.39697593,-83.90896788,31.9731673,374.0495796,546.8213738,318.7650419,29.68,1.65,107.63,1008.04,1,1
41:04.9,22.39671394,-83.90908243,31.97335072,374.0496811,546.8212429,318.7649492,29.68,1.65,107.63,1008.03,1,1
41:05.9,22.39660254,-83.90902035,31.97343543,374.0495888,546.8211119,318.7650502,29.68,1.65,107.63,1008.06,1,1
41:06.9,22.3970763,-83.90818027,31.97303946,374.0466951,546.8166464,318.7615748,29.68,1.65,107.63,1008.07,-1,1
41:07.9,22.36304015,-83.93367302,31.98603503,374.0732074,546.8126933,318.7449301,29.68,1.65,107.63,1008.07,-1,1
41:08.9,22.24737378,-83.90626145,32.19108148,374.0471511,546.1836026,317.777604,29.68,1.65,107.63,1008.05,1,1
41:09.9,22.30585492,-83.93614037,32.15574125,374.0666089,546.2222277,317.7778989,29.68,1.65,107.63,1008.05,1,1
41:10.9,22.42729233,-83.96218219,31.95000337,374.0891904,546.8468518,318.7423307,29.68,1.65,107.63,1007.99,1,1
41:11.9,22.4011235,-83.90968541,31.97373755,374.0522906,546.8255695,318.7687185,29.68,1.65,107.63,1008.06,1,1
